Instrument type,Instrument,Mooring,Serial No,Sample Period (secs),Depth,Max Depth,Bottom Depth at deployment,T-Cal bath?,Lat,Long,Clock offset(s),Clock offset end (s),Anchor deploy time (in),Release time (out),Time in Cal bath,Time out cal bath
Nortek DW,Aquadop DW,EAC2000,A6L-4885 (AQD 9470),1800,1462,6000,1940,0,-27.3064,153.9921,0,-1200,22/4/12 7:27,24/8/13 4:30,0/01/00 0:00,0/01/00 0:00
Star Oddi,Starmon Mini,EAC2000,T-4033,300,1465,11000,1940,1,-27.3064,153.9921,0,0,22/4/12 7:27,24/8/13 4:30,24/8/13 8:40,24/8/13 23:15
Star Oddi,Starmon Mini,EAC2000,T-4034,300,1712,11000,1940,1,-27.3064,153.9921,0,-900,22/4/12 7:27,24/8/13 4:30,24/8/13 8:48,24/8/13 23:15
Nortek DW,Aquadop DW,EAC2000,A6L-5066 (AQD 9820),1800,1879,6000,1940,0,-27.3064,153.9921,0,0,22/4/12 7:27,24/8/13 4:30,0/01/00 0:00,0/01/00 0:00
SBE37SMP,SBE37SMP,EAC4200,9172,600,7,3500,4220,0,-27.2518,154.2904,298,298,23/4/12 10:25,24/8/13 22:29,0/01/00 0:00,0/01/00 0:00
Star Oddi,Starmon Mini,EAC4200,T-4035,300,27,11000,4220,1,-27.2518,154.2904,0,-600,23/4/12 10:25,24/8/13 22:29,24/8/13 23:31,25/8/13 9:33
Star Oddi,Starmon Mini,EAC4200,T-4036,300,47,11000,4220,1,-27.2518,154.2904,0,0,23/4/12 10:25,24/8/13 22:29,24/8/13 23:31,25/8/13 9:33
Star Oddi,Starmon Mini,EAC4200,T-4037,300,67,11000,4220,1,-27.2518,154.2904,0,0,23/4/12 10:25,24/8/13 22:29,24/8/13 23:40,25/8/13 9:33
RDI ADCP,WHS300,EAC4200,16432,3600,87,1500,4220,0,-27.2518,154.2904,0,0,23/4/12 10:25,24/8/13 22:29,0/01/00 0:00,0/01/00 0:00
RDI ADCP,WHL75,EAC4200,16375,3600,88,1000,4220,0,-27.2518,154.2904,0,0,23/4/12 10:25,24/8/13 22:29,0/01/00 0:00,0/01/00 0:00
Star Oddi,Starmon Mini,EAC4200,T-4038,300,100,11000,4220,1,-27.2518,154.2904,0,0,23/4/12 10:25,24/8/13 22:29,24/8/13 23:49,25/8/13 9:33
Star Oddi,Starmon Mini,EAC4200,T-4039,300,145,11000,4220,1,-27.2518,154.2904,0,-300,23/4/12 10:25,24/8/13 22:29,24/8/13 23:52,25/8/13 9:33
