Instrument type,Instrument type,Mooring,Serial No,Sample Period (secs),Depth,Max Depth,Bottom Depth at deployment,T-Cal bath?,Lat,Long,Clock offset start,Clock offset end,Anchor deploy time (in),Release time (out),Time in Cal bath,Time out cal bath
SBE37SMP,Sea-Bird Electronics SBE37SMP,EAC4200,15133,600,485,3500,4287,1,-27.23979,154.29721,0,14,29/4/18 5:14,16/9/19 21:31,17/9/19 0:18,18/9/19 0:41
SBE37SMP,Sea-Bird Electronics SBE37SMP,EAC4200,15884,600,610,3500,4287,1,-27.23979,154.29721,0,-9,29/4/18 5:14,16/9/19 21:31,17/9/19 0:24,18/9/19 0:41
RDI ADCP,LR75,EAC4200,24659,225,650,1500,4287,0,-27.23979,154.29721,0,-93,29/4/18 5:14,16/9/19 21:31,0/1/00 0:00,0/1/00 0:00
SBE39T                        ,Sea-Bird Electronics SBE39             ,EAC4200,4201,300,800,7000,4287,1,-27.23979,154.29721,0,0,29/4/18 5:14,16/9/19 21:31,17/9/19 0:48,18/9/19 0:41
SBE39T                        ,Sea-Bird Electronics SBE39             ,EAC4200,4500,300,1000,7000,4287,1,-27.23979,154.29721,0,0,29/4/18 5:14,16/9/19 21:31,17/9/19 0:58,18/9/19 0:41
SBE37SMP,Sea-Bird Electronics SBE37SMP,EAC4200,9189,600,1190,7000,4287,1,-27.23979,154.29721,0,84,29/4/18 5:14,16/9/19 21:31,17/9/19 1:13,18/9/19 0:41
Nortek DW,Nortek Aquadopp DW 2Mhz,EAC4200,A6L-3656 (AQD 5937),1800,1195,6000,4287,0,-27.23979,154.29721,0,-65,29/4/18 5:14,16/9/19 21:31,0/1/00 0:00,0/1/00 0:00
Star Oddi,Star Oddi Starmon mini,EAC4200,T-3995,300,1300,6000,4287,1,-27.23979,154.29721,0,-600,29/4/18 5:14,16/9/19 21:31,17/9/19 1:28,18/9/19 0:41
Nortek DW,Nortek Aquadopp DW 2Mhz,EAC4200,A6L-3661 (AQD 5908),1800,1500,6000,4287,0,-27.23979,154.29721,0,-62,29/4/18 5:14,16/9/19 21:31,0/1/00 0:00,0/1/00 0:00
SBE39TP        ,Sea-Bird Electronics SBE39plus             ,EAC4200,39p-8519,300,1500,3500,4287,1,-27.23979,154.29721,0,-7,29/4/18 5:14,16/9/19 21:31,17/9/19 1:48,18/9/19 0:41
Star Oddi,Star Oddi Starmon mini,EAC4200,T-4023,300,1750,6000,4287,1,-27.23979,154.29721,0,-1200,29/4/18 5:14,16/9/19 21:31,17/9/19 2:35,18/9/19 0:41
Nortek DW,Nortek Aquadopp DW 2Mhz,EAC4200,A6L-4864 (AQD 9840),1800,2000,6000,4287,0,-27.23979,154.29721,0,-85.3,29/4/18 5:14,16/9/19 21:31,0/1/00 0:00,0/1/00 0:00
SBE37SMP,Sea-Bird Electronics SBE37SMP,EAC4200,9188,600,2005,7000,4287,1,-27.23979,154.29721,0,43,29/4/18 5:14,16/9/19 21:31,17/9/19 3:18,18/9/19 0:41
Nortek DW,Nortek Aquadopp DW 2Mhz,EAC4200,A6L-4865 (AQD 9841),1800,3000,6000,4287,0,-27.23979,154.29721,0,-70,29/4/18 5:14,16/9/19 21:31,0/1/00 0:00,0/1/00 0:00
SBE37SMP,Sea-Bird Electronics SBE37SMP,EAC4200,7898,1200,3005,3500,4287,1,-27.23979,154.29721,0,25,29/4/18 5:14,16/9/19 21:31,17/9/19 3:56,18/9/19 0:41
Nortek DW,Nortek Aquadopp DW 2Mhz,EAC4200,A6L-4869 (AQD 9496),1800,4180,6000,4287,0,-27.23979,154.29721,0,-70,29/4/18 5:14,16/9/19 21:31,0/1/00 0:00,0/1/00 0:00
SBE37SMP,Sea-Bird Electronics SBE37SMP,EAC4200,9190,600,4180,7000,4287,1,-27.23979,154.29721,0,22,29/4/18 5:14,16/9/19 21:31,17/9/19 4:18,18/9/19 0:41
SBE37SMP,Sea-Bird Electronics SBE37SMP,EAC3200,9340,600,28,600,3161,1,-27.2841,154.1301,0,18,2/5/18 3:59,20/9/19 21:33,20/9/19 22:31,22/9/19 0:07
SBE39TP        ,Sea-Bird Electronics SBE39plus             ,EAC3200,39p-8436,300,48,3500,3161,1,-27.2841,154.1301,0,-8,2/5/18 3:59,20/9/19 21:33,20/9/19 23:06,22/9/19 0:07
SBE37SMP,Sea-Bird Electronics SBE37SMP,EAC3200,9897,600,68,3500,3161,1,-27.2841,154.1301,0,20,2/5/18 3:59,20/9/19 21:33,20/9/19 23:16,22/9/19 0:07
SBE39T                        ,Sea-Bird Electronics SBE39             ,EAC3200,3916,300,88,7000,3161,1,-27.2841,154.1301,0,71,2/5/18 3:59,20/9/19 21:33,20/9/19 23:12,22/9/19 0:07
RDI ADCP,BB150,EAC3200,17959,72,108,1500,3161,0,-27.2841,154.1301,0,5,2/5/18 3:59,20/9/19 21:33,0/1/00 0:00,0/1/00 0:00
RDI ADCP,LR75,EAC3200,14292,225,108,1500,3161,0,-27.2841,154.1301,0,466,2/5/18 3:59,20/9/19 21:33,0/1/00 0:00,0/1/00 0:00
SBE37SMP,Sea-Bird Electronics SBE37SMP,EAC3200,9907,600,123,3500,3161,1,-27.2841,154.1301,0,1,2/5/18 3:59,20/9/19 21:33,20/9/19 23:34,22/9/19 0:07
Star Oddi,Star Oddi Starmon mini,EAC3200,T-4008,300,158,6000,3161,1,-27.2841,154.1301,0,300,2/5/18 3:59,20/9/19 21:33,20/9/19 23:33,22/9/19 0:07
SBE37SMP,Sea-Bird Electronics SBE37SMP,EAC3200,11401,600,188,3500,3161,1,-27.2841,154.1301,0,27,2/5/18 3:59,20/9/19 21:33,20/9/19 23:42,22/9/19 0:07
SBE39T                        ,Sea-Bird Electronics SBE39             ,EAC3200,4169,300,238,10000,3161,1,-27.2841,154.1301,0,0,2/5/18 3:59,20/9/19 21:33,20/9/19 23:46,22/9/19 0:07
SBE37SMP,Sea-Bird Electronics SBE37SMP,EAC3200,9184,600,288,3500,3161,1,-27.2841,154.1301,0,47,2/5/18 3:59,20/9/19 21:33,20/9/19 23:52,22/9/19 0:07
SBE39T                        ,Sea-Bird Electronics SBE39             ,EAC3200,4326,300,338,600,3161,1,-27.2841,154.1301,0,0,2/5/18 3:59,20/9/19 21:33,21/9/19 0:08,22/9/19 0:07
Star Oddi,Star Oddi Starmon mini,EAC3200,T-4010,300,388,6000,3161,1,-27.2841,154.1301,0,-300,2/5/18 3:59,20/9/19 21:33,21/9/19 0:14,22/9/19 0:07
SBE37SMP,Sea-Bird Electronics SBE37SMP,EAC3200,15132,600,473,3500,3161,1,-27.2841,154.1301,0,-7,2/5/18 3:59,20/9/19 21:33,21/9/19 0:21,22/9/19 0:07
SBE37SMP,Sea-Bird Electronics SBE37SMP,EAC3200,15883,600,598,3500,3161,1,-27.2841,154.1301,0,-21,2/5/18 3:59,20/9/19 21:33,21/9/19 0:29,22/9/19 0:07
RDI ADCP,LR75,EAC3200,24475,225,638,1500,3161,0,-27.2841,154.1301,0,229,2/5/18 3:59,20/9/19 21:33,21/9/19 1:19,22/9/19 0:07
SBE39TP        ,Sea-Bird Electronics SBE39plus             ,EAC3200,39p-8516,300,788,3500,3161,1,-27.2841,154.1301,0,5,2/5/18 3:59,20/9/19 21:33,21/9/19 1:27,22/9/19 0:07
SBE39T                        ,Sea-Bird Electronics SBE39             ,EAC3200,4171,300,988,7000,3161,1,-27.2841,154.1301,0,90,2/5/18 3:59,20/9/19 21:33,21/9/19 1:51,22/9/19 0:07
SBE37SMP,Sea-Bird Electronics SBE37SMP,EAC3200,9187,600,1178,7000,3161,1,-27.2841,154.1301,0,16,2/5/18 3:59,20/9/19 21:33,0/1/00 0:00,0/1/00 0:00
Nortek DW,Nortek Aquadopp DW 2Mhz,EAC3200,A6L-3641 (AQD 5938),1800,1183,6000,3161,0,-27.2841,154.1301,0,-37.6,2/5/18 3:59,20/9/19 21:33,0/1/00 0:00,0/1/00 0:00
Star Oddi,Star Oddi Starmon mini,EAC3200,T-4011,300,1288,6000,3161,1,-27.2841,154.1301,0,-600,2/5/18 3:59,20/9/19 21:33,21/9/19 2:43,22/9/19 0:07
Nortek DW,Nortek Aquadopp DW 2Mhz,EAC3200,A6L-3653 (AQD 5976),1800,1488,6000,3161,0,-27.2841,154.1301,0,-70.3,2/5/18 3:59,20/9/19 21:33,0/1/00 0:00,0/1/00 0:00
SBE39TP        ,Sea-Bird Electronics SBE39plus             ,EAC3200,39p-8517,300,1488,3500,3161,1,-27.2841,154.1301,0,204,2/5/18 3:59,20/9/19 21:33,21/9/19 2:57,22/9/19 0:07
Star Oddi,Star Oddi Starmon mini,EAC3200,T-4012,300,1738,6000,3161,1,-27.2841,154.1301,0,-900,2/5/18 3:59,20/9/19 21:33,21/9/19 3:09,22/9/19 0:07
Nortek DW,Nortek Aquadopp DW 2Mhz,EAC3200,A6L-3654 (AQD 5928),1800,1993,6000,3161,0,-27.2841,154.1301,0,-17.6,2/5/18 3:59,20/9/19 21:33,0/1/00 0:00,0/1/00 0:00
SBE37SMP,Sea-Bird Electronics SBE37SMP,EAC3200,13082,600,1998,7000,3161,1,-27.2841,154.1301,0,-7,2/5/18 3:59,20/9/19 21:33,21/9/19 3:29,22/9/19 0:07
Nortek DW,Nortek Aquadopp DW 2Mhz,EAC3200,A6L-3655 (AQD 5961),1800,3068,6000,3161,0,-27.2841,154.1301,0,0,2/5/18 3:59,20/9/19 21:33,0/1/00 0:00,0/1/00 0:00
SBE37SMP,Sea-Bird Electronics SBE37SMP,EAC3200,7897,1200,3071,3500,3161,0,-27.2841,154.1301,0,56,2/5/18 3:59,20/9/19 21:33,21/9/19 4:03,22/9/19 0:07
SBE37SMP,Sea-Bird Electronics SBE37SMP,EAC2000,9336,600,46,600,1908,0,-27.3129,153.999,0,0,5/5/18 6:28,23/9/19 21:40,0/1/00 0:00,0/1/00 0:00
SBE39TP        ,Sea-Bird Electronics SBE39plus             ,EAC2000,39p-8086,300,66,3500,1908,0,-27.3129,153.999,0,0,5/5/18 6:28,23/9/19 21:40,0/1/00 0:00,0/1/00 0:00
SBE37SMP,Sea-Bird Electronics SBE37SMP,EAC2000,9896,600,86,3500,1908,0,-27.3129,153.999,0,7,5/5/18 6:28,23/9/19 21:40,0/1/00 0:00,0/1/00 0:00
SBE39TP        ,Sea-Bird Electronics SBE39plus             ,EAC2000,39p-8087,300,106,3500,1908,0,-27.3129,153.999,0,-3,5/5/18 6:28,23/9/19 21:40,0/1/00 0:00,0/1/00 0:00
RDI ADCP,BB150,EAC2000,17958,72,126,1500,1908,0,-27.3129,153.999,0,0,5/5/18 6:28,23/9/19 21:40,0/1/00 0:00,0/1/00 0:00
RDI ADCP,LR75,EAC2000,16072,225,126,1500,1908,0,-27.3129,153.999,0,40,5/5/18 6:28,23/9/19 21:40,0/1/00 0:00,0/1/00 0:00
SBE37SMP,Sea-Bird Electronics SBE37SMP,EAC2000,9906,600,141,3500,1908,0,-27.3129,153.999,0,-15,5/5/18 6:28,23/9/19 21:40,0/1/00 0:00,0/1/00 0:00
Star Oddi,Star Oddi Starmon mini,EAC2000,T-4000,300,176,6000,1908,0,-27.3129,153.999,0,0,5/5/18 6:28,23/9/19 21:40,0/1/00 0:00,0/1/00 0:00
SBE37SMP,Sea-Bird Electronics SBE37SMP,EAC2000,9912,600,206,3500,1908,0,-27.3129,153.999,0,0,5/5/18 6:28,23/9/19 21:40,0/1/00 0:00,0/1/00 0:00
SBE39T                        ,Sea-Bird Electronics SBE39             ,EAC2000,4887,300,256,7000,1908,0,-27.3129,153.999,0,93,5/5/18 6:28,23/9/19 21:40,23/9/19 22:35,25/9/19 2:32
