Instrument type,Instrument,Mooring,Serial No,Sample Period (secs),Depth,Max Depth,Bottom Depth at deployment,T-Cal bath?,Lat,Long,Clock offset start,Clock offset end,Anchor deploy time (in),Release time (out),Time in Cal bath,Time out cal bath
SBE37,SBE37SMP,EAC0500,7903,600,73,3500,536,1,-27.32913,153.89885,0,42,11/11/2016 0:40,3/5/2018 2:58,3/5/2018 7:00,3/5/2018 22:30
SBE39             ,SBE39TP        ,EAC0500,6275,300,93,7000,536,1,-27.32913,153.89885,0,43,11/11/2016 0:40,3/5/2018 2:58,3/5/2018 7:00,3/5/2018 22:30
RDI ADCP,WH300,EAC0500,16679,72,112,1000,536,0,-27.32913,153.89885,0,520,11/11/2016 0:40,3/5/2018 2:58,3/5/2018 7:00,3/5/2018 22:30
RDI ADCP,LR75,EAC0500,12474,225,113,1500,536,0,-27.32913,153.89885,0,0,11/11/2016 0:40,3/5/2018 2:58,3/5/2018 7:00,3/5/2018 22:30
SBE37,SBE37SMP,EAC0500,9165,600,128,3500,536,1,-27.32913,153.89885,0,69,11/11/2016 0:40,3/5/2018 2:58,3/5/2018 7:00,3/5/2018 22:30
Star Oddi,Starmon Mini,EAC0500,T-5326,300,163,10000,536,1,-27.32913,153.89885,0,0,11/11/2016 0:40,3/5/2018 2:58,3/5/2018 7:00,3/5/2018 22:30
SBE37,SBE37SMP,EAC0500,9167,600,193,3500,536,1,-27.32913,153.89885,0,42,11/11/2016 0:40,3/5/2018 2:58,3/5/2018 7:00,3/5/2018 22:30
SBE37,SBE37SMP,EAC0500,9168,600,293,3500,536,1,-27.32913,153.89885,0,52,11/11/2016 0:40,3/5/2018 2:58,3/5/2018 7:00,3/5/2018 22:30
SBE39             ,SBE39TP        ,EAC0500,6276,300,343,7000,536,1,-27.32913,153.89885,0,86,11/11/2016 0:40,3/5/2018 2:58,3/5/2018 7:00,3/5/2018 22:30
Star Oddi,Starmon Mini,EAC0500,T-5327,300,393,10000,536,1,-27.32913,153.89885,0,0,11/11/2016 0:40,3/5/2018 2:58,3/5/2018 7:00,3/5/2018 22:30
Nortek DW,Aquadop DW                     ,EAC0500,A6L-4614 (AQD 6622),1800,453,6000,536,0,-27.32913,153.89885,0,71,11/11/2016 0:40,3/5/2018 2:58,3/5/2018 7:00,3/5/2018 22:30
SBE37,SBE37SMP,EAC0500,9169,600,455,3500,536,1,-27.32913,153.89885,0,64,11/11/2016 0:40,3/5/2018 2:58,3/5/2018 7:00,3/5/2018 22:30
