Instrument type,	Instrument,	Mooring,	Serial No,	Sample Period (secs),	Depth,	Max Depth,	Bottom Depth at deployment,	T-Cal bath?,	Lat,	Long,	Clock offset start,	Clock offset end,	Anchor deploy time (in),	Release time (out),	Time in Cal bath,	Time out cal bath,
RDI ADCP,WHLS75-I-2,EAC3200,16072, ,655,,3185,,-27.2846 ,154.1366,0,-243,23/9/2019 06:00,24/5/2021 21:32,01/01/2001 00:00,01/01/2001 00:00
SBE39,SBE39,EAC3200,6278, ,810,,3185,,-27.2846 ,154.1366,0,108,23/9/2019 06:00,24/5/2021 21:32,01/01/2001 00:00,01/01/2001 00:00
SBE39,SBE39,EAC3200,4688, ,1010,,3185,,-27.2846 ,154.1366,0,167,23/9/2019 06:00,24/5/2021 21:32,01/01/2001 00:00,01/01/2001 00:00
Nortek DW,Aquadopp DW 2Mhz,EAC3200,A6L-4885 (AQD 9470), ,1204,,3185,,-27.2846 ,154.1366,0,-82,23/9/2019 06:00,24/5/2021 21:32,01/01/2001 00:00,01/01/2001 00:00
SBE37,SBE37SMP,EAC3200,13257, ,1204,,3185,,-27.2846 ,154.1366,0,-4,23/9/2019 06:00,24/5/2021 21:32,01/01/2001 00:00,01/01/2001 00:00
Star Oddi,Starmon mini,EAC3200,T-3989, ,1314,,3185,,-27.2846 ,154.1366,0,-1800,23/9/2019 06:00,24/5/2021 21:32,01/01/2001 00:00,01/01/2001 00:00
Nortek DW,Aquadopp DW 2Mhz,EAC3200,A6L-5475 (AQD 8391), ,1515,,3185,,-27.2846 ,154.1366,0,-77,23/9/2019 06:00,24/5/2021 21:32,01/01/2001 00:00,01/01/2001 00:00
SBE39,SBE39,EAC3200,6281, ,1515,,3185,,-27.2846 ,154.1366,0,110,23/9/2019 06:00,24/5/2021 21:32,01/01/2001 00:00,01/01/2001 00:00
Star Oddi,Starmon mini,EAC3200,T-3990, ,1765,,3185,,-27.2846 ,154.1366,0,-1200,23/9/2019 06:00,24/5/2021 21:32,01/01/2001 00:00,01/01/2001 00:00
Nortek DW,Aquadopp DW 2Mhz,EAC3200,A6L-4888 (AQD 9842), ,2020,,3185,,-27.2846 ,154.1366,0,-91,23/9/2019 06:00,24/5/2021 21:32,01/01/2001 00:00,01/01/2001 00:00
SBE37,SBE37SMP,EAC3200,13262, ,2020,,3185,,-27.2846 ,154.1366,0,-29,23/9/2019 06:00,24/5/2021 21:32,01/01/2001 00:00,01/01/2001 00:00
